!'--,--,--,--,60 Hz,60 Hz,50 Hz,50 Hz,60 Hz,60 Hz,50 Hz,50 Hz,60 Hz,60 Hz,50 Hz,50 Hz,Alum,total,total,Diameter,--,alum/steel,Number,Diameter,--,core,core,Strength,Strength,Weight,Weight,Ampacity
!'--,--,ohms/mi,ohms/km,ohms/mi,ohms/km,ohms/mi,ohms/km,ohms/mi,ohms/km,ohms/mi,ohms/km,Mohm-mi,Mohm-km,Mohm-mi,Mohm-km,kcmil,in^2,mm^2,inch,mm,stranding,strands,inch,mm,inch,mm,lbs,kg,lb/kft,kg/km,Amps
!Conductor Data File for PSS/U,,col 3,,,,,,,col 10,,,,,col 15,,,conductor,,conductor,,,outer,strands,,strands,,,,,,
!DO NOT USE  separator  for formatting any cells,,25 C,25 C,25 C,25 C,25 C,25 C,,,,,,,,,,,,col 20,,,layer,outer,col 25,,,,,col 30,,col 32
!NAME,TYPE,R_dc/mi,R_dc/km,R_AC60,R_AC60,R_AC50,R_AC50,XL_60,XL_60,XL_50,XL_50,XC_60,XC_60,XC_50,XC_50,kcmil,sq_in,sq_mm,OD,OD,STRAND,#STD-OL,STR-DIA,STR-DIA,STR-DIA,STR-DIA,UTS,UTS,WGT,WGT,AMPS
AAAC5005#6,AAAC5005,4.129,2.5657,4.129,2.5657,4.129,2.5657,0.63,0.3915,0.525,0.3262,0.1444,0.2324,0.1733,0.2789,26,0.0206,13.3,0.184,4.67,7,6,0.0612,1.55,9999,9999,800,363,25,37.2,9999
KAZOO,AAAC5005,3.47,2.1562,3.47,2.1562,3.47,2.1562,0.621,0.3859,0.5175,0.3216,0.1421,0.2287,0.1705,0.2744,31,0.024,15.5,0.198,5.03,7,6,0.0661,1.68,9999,9999,922,418,28.7,42.7,100
AAAC5005#4,AAAC5005,2.595,1.6125,2.595,1.6125,2.595,1.6125,0.602,0.3741,0.5017,0.3118,0.1375,0.2213,0.165,0.2655,42,0.0327,21.1,0.232,5.89,7,6,0.0772,1.96,9999,9999,1200,544,39,58,9999
KAKI,AAAC5005,2.18,1.3546,2.18,1.3546,2.18,1.3546,0.593,0.3685,0.4942,0.3071,0.1352,0.2176,0.1622,0.261,49,0.0382,24.6,0.25,6.35,7,6,0.0834,2.12,9999,9999,1430,649,45.7,68,140
AAAC5005#2,AAAC5005,1.63,1.0129,1.631,1.0135,1.6307,1.0133,0.574,0.3567,0.4783,0.2972,0.1306,0.2102,0.1567,0.2522,66,0.0521,33.6,0.292,7.42,7,6,0.0974,2.47,9999,9999,1900,862,62,92.3,9999
KENCH,AAAC5005,1.37,0.8513,1.37,0.8513,1.37,0.8513,0.564,0.3505,0.47,0.2921,0.1283,0.2065,0.154,0.2478,77,0.0608,39.2,0.316,8.03,7,6,0.1052,2.67,9999,9999,2220,1007,72.7,108.2,185
AAAC5005_1/0,AAAC5005,1.026,0.6375,1.026,0.6375,1.026,0.6375,0.546,0.3393,0.455,0.2827,0.1237,0.1991,0.1484,0.2388,106,0.0829,53.5,0.368,9.35,7,6,0.1228,3.12,9999,9999,2900,1315,99,147.3,9999
KIBE,AAAC5005,0.862,0.5356,0.862,0.5356,0.862,0.5356,0.536,0.3331,0.4467,0.2776,0.1214,0.1954,0.1457,0.2345,123,0.0968,62.5,0.398,10.11,7,6,0.1327,3.37,9999,9999,3440,1560,115.7,172.2,250
AAAC5005_2/0,AAAC5005,0.8133,0.5054,0.8137,0.5056,0.8136,0.5056,0.532,0.3306,0.4433,0.2755,0.1203,0.1936,0.1444,0.2324,133,0.1046,67.5,0.414,10.52,7,6,0.1379,3.5,9999,9999,3700,1678,125,186,9999
KAYAK,AAAC5005,0.684,0.425,0.684,0.425,0.684,0.425,0.522,0.3244,0.435,0.2703,0.118,0.1899,0.1416,0.2279,155,0.1221,78.8,0.447,11.35,7,6,0.149,3.78,9999,9999,4280,1941,145.9,217.1,295
AAAC5005_3/0,AAAC5005,0.6454,0.401,0.6459,0.4014,0.6458,0.4013,0.518,0.3219,0.4317,0.2683,0.1169,0.1881,0.1403,0.2258,168,0.1318,85,0.464,11.79,7,6,0.1548,3.93,9999,9999,4600,2087,158,235.1,9999
KOPECK,AAAC5005,0.5438,0.3379,0.544,0.338,0.5439,0.338,0.508,0.3157,0.4233,0.263,0.1146,0.1844,0.1375,0.2213,196,0.1537,99.2,0.502,12.75,7,6,0.1672,4.25,9999,9999,5020,2277,183.7,273.4,340
AAAC5005_4/0,AAAC5005,0.5114,0.3178,0.512,0.3182,0.5118,0.318,0.504,0.3132,0.42,0.261,0.1134,0.1825,0.1361,0.219,212,0.1663,107.3,0.522,13.26,7,6,0.1739,4.42,9999,9999,5400,2449,199,296.2,9999
KITTLE,AAAC5005,0.431,0.2678,0.431,0.2678,0.431,0.2678,0.494,0.307,0.4117,0.2558,0.1112,0.179,0.1334,0.2147,247,0.1939,125.1,0.563,14.3,7,6,0.1878,4.77,9999,9999,6330,2871,231.8,345,395
RATCH,AAAC5005,0.3775,0.2346,0.378,0.2349,0.3779,0.2348,0.48,0.2983,0.4,0.2486,0.1089,0.1753,0.1307,0.2103,281,0.221,142.6,0.608,15.44,19,12,0.1218,3.09,9999,9999,7610,3452,264.2,393.2,430
RAMIE,AAAC5005,0.3397,0.2111,0.341,0.2119,0.3406,0.2116,0.473,0.2939,0.3942,0.245,0.1073,0.1727,0.1288,0.2073,313,0.2456,158.5,0.642,16.31,19,12,0.1284,3.26,9999,9999,8450,3833,293.6,436.9,460
RADAR,AAAC5005,0.2993,0.186,0.3,0.1864,0.2998,0.1863,0.465,0.2889,0.3875,0.2408,0.1054,0.1696,0.1265,0.2036,355,0.2789,179.9,0.683,17.35,19,12,0.1368,3.47,9999,9999,9600,4355,333.3,496,495
RADIAN,AAAC5005,0.2694,0.1674,0.27,0.1678,0.2698,0.1677,0.459,0.2852,0.3825,0.2377,0.1039,0.1672,0.1247,0.2007,395,0.3099,199.9,0.721,18.31,19,12,0.1442,3.66,9999,9999,10500,4763,370.3,551.1,530
REDE,AAAC5005,0.2536,0.1576,0.254,0.1578,0.2539,0.1578,0.455,0.2827,0.3792,0.2356,0.108,0.1738,0.1296,0.2086,420,0.3295,212.6,0.743,18.87,19,12,0.1486,3.77,9999,9999,11200,5080,393.9,586.2,550
RAGOUT,AAAC5005,0.2284,0.1419,0.23,0.1429,0.2295,0.1426,0.449,0.279,0.3742,0.2325,0.1014,0.1632,0.1217,0.1959,465,0.3655,235.8,0.782,19.86,19,12,0.1566,3.98,9999,9999,12200,5534,436.9,650.2,590
REX,AAAC5005,0.2113,0.1313,0.212,0.1317,0.2118,0.1316,0.444,0.2759,0.37,0.2299,0.1003,0.1614,0.1204,0.1938,504,0.3955,255.2,0.814,20.68,19,12,0.1628,4.14,9999,9999,12500,5670,472.7,703.5,620
REMEX,AAAC5005,0.1902,0.1182,0.192,0.1193,0.1915,0.119,0.438,0.2722,0.365,0.2268,0.0987,0.1588,0.1184,0.1905,559,0.4394,283.5,0.858,21.79,19,12,0.1716,4.36,9999,9999,13900,6305,525.2,781.6,660
RUBLE,AAAC5005,0.1812,0.1126,0.183,0.1137,0.1825,0.1134,0.435,0.2703,0.3625,0.2253,0.098,0.1577,0.1176,0.1893,587,0.4612,297.5,0.879,22.33,19,12,0.1758,4.47,9999,9999,14600,6623,551.2,820.3,680
RUNE,AAAC5005,0.1629,0.1012,0.165,0.1025,0.1644,0.1022,0.429,0.2666,0.3575,0.2221,0.0964,0.1551,0.1157,0.1862,652,0.5124,330.6,0.926,23.52,19,12,0.1854,4.71,9999,9999,16200,7348,612.4,911.4,730
SPAR,AAAC5005,0.1434,0.0891,0.146,0.0907,0.1452,0.0902,0.419,0.2604,0.3492,0.217,0.0944,0.1519,0.1133,0.1823,741,0.5818,375.4,0.99,25.15,37,18,0.1416,3.6,9999,9999,19300,8754,695.4,1034.9,790
SOLAR,AAAC5005,0.1148,0.0713,0.117,0.0727,0.1163,0.0723,0.405,0.2517,0.3375,0.2097,0.0911,0.1466,0.1093,0.1759,927,0.7282,469.8,1.108,28.14,37,18,0.1583,4.02,9999,9999,23900,10841,870.4,1295.3,910
AN587,AAAC5005,0.09093,0.0565,0.0927,0.0576,0.0922,0.0573,0.3781,0.2349,0.3151,0.1958,0.0845,0.136,0.1014,0.1632,1158.46,0.9099,587,1.2402,31.5,61,24,0.1378,3.5,9999,9999,30349,13766,1088.6,1620.1,1130
IN604,AAAC5005,0.08851,0.055,0.0901,0.056,0.0896,0.0557,0.3781,0.2349,0.3151,0.1958,0.0845,0.136,0.1014,0.1632,1192.01,0.9362,604,1.2579,31.95,61,24,0.1398,3.55,9999,9999,35969,16315,1119.5,1666.1,1130
IN649,AAAC5005,0.0824,0.0512,0.0837,0.052,0.0833,0.0518,0.3781,0.2349,0.3151,0.1958,0.0845,0.136,0.1014,0.1632,1259.11,0.9889,638,1.3031,33.1,61,24,0.1437,3.65,9999,9999,38667,17539,1183.3,1761,1130
AN659,AAAC5005,0.08095,0.0503,0.0822,0.0511,0.0818,0.0508,0.3781,0.2349,0.3151,0.1958,0.0845,0.136,0.1014,0.1632,1300.55,1.0215,659,1.315,33.4,61,24,0.1457,3.7,9999,9999,33497,15194,1220.3,1816.1,1130
AN759,AAAC5005,0.07033,0.0437,0.0713,0.0443,0.071,0.0441,0.3781,0.2349,0.3151,0.1958,0.0845,0.136,0.1014,0.1632,1497.91,1.1765,759,1.4094,35.8,61,24,0.1575,4,9999,9999,37993,17234,1407.1,2094.1,1130
AAAC6201#6,AAAC6201,4.1107,2.5543,4.1248,2.563,4.1206,2.5604,0.63,0.3915,0.525,0.3262,0.1444,0.2324,0.1733,0.2789,26,0.0206,13.3,0.184,4.67,7,6,0.0612,1.55,9999,9999,900,408,24.49,36.4,97
AKRON,AAAC6201,3.5273,2.1918,3.5394,2.1993,3.5358,2.197,0.621,0.3859,0.5175,0.3216,0.1421,0.2287,0.1705,0.2744,31,0.024,15.5,0.198,5.03,7,6,0.0661,1.68,9999,9999,1110,503,28.7,42.7,100
Box,AAAC6201,2.8619,1.7783,2.8621,1.7784,2.8621,1.7784,0.6097,0.3789,0.5081,0.3157,0.1393,0.2242,0.1672,0.2691,37.1,0.0291,18.8,0.2185,5.55,7,7,0.0728,1.85,0.0728,1.85,1340,608,34.7,51.7,121
AAAC6201#4,AAAC6201,2.5842,1.6058,2.5931,1.6113,2.5904,1.6096,0.602,0.3741,0.5017,0.3117,0.1375,0.2213,0.165,0.2655,42,0.0327,21.1,0.232,5.89,7,6,0.0772,1.96,9999,9999,1500,680,38.9,57.9,130
Acacia,AAAC6201,2.2643,1.407,2.2645,1.4071,2.2645,1.4071,0.5963,0.3705,0.4969,0.3088,0.1358,0.2185,0.163,0.2623,47.2,0.037,23.9,0.2457,6.24,7,6,0.0819,2.08,0.0819,2.08,1711,776,44.4,66.1,140
ALTON,AAAC6201,2.2157,1.3768,2.2235,1.3816,2.2212,1.3802,0.593,0.3685,0.4942,0.3071,0.1352,0.2176,0.1622,0.261,49,0.0382,24.6,0.25,6.35,7,6,0.0834,2.12,9999,9999,1760,798,45.7,68,135
Almond,AAAC6201,1.7896,1.112,1.7898,1.1121,1.7898,1.1121,0.5823,0.3618,0.4853,0.3016,0.1323,0.2129,0.1588,0.2556,59.4,0.0467,30.1,0.2764,7.02,7,6,0.0921,2.34,0.0921,2.34,2150,975,55.7,82.9,162
AAAC6201#2,AAAC6201,1.6251,1.0098,1.6309,1.0134,1.6292,1.0123,0.574,0.3567,0.4783,0.2972,0.1306,0.2102,0.1567,0.2522,66,0.0521,33.6,0.292,7.42,7,6,0.0974,2.47,9999,9999,2400,1089,61.92,92.2,173
Cedar,AAAC6201,1.5178,0.9431,1.5181,0.9433,1.5179,0.9432,0.5723,0.3556,0.4769,0.2963,0.1299,0.2091,0.1559,0.2509,70,0.055,35.5,0.3,7.62,7,6,0.1,2.54,0.1,2.54,2531,1148,65.7,97.8,180
AMES,AAAC6201,1.3924,0.8652,1.3973,0.8682,1.3958,0.8673,0.564,0.3505,0.47,0.292,0.1283,0.2065,0.154,0.2478,77,0.0608,39.2,0.316,8.03,7,6,0.1052,2.67,9999,9999,2800,1270,72.7,108.2,180
Deodar,AAAC6201,1.277,0.7935,1.2773,0.7937,1.2772,0.7936,0.5614,0.3488,0.4678,0.2907,0.1273,0.2049,0.1528,0.2459,83.3,0.0654,42.2,0.3272,8.31,7,6,0.1091,2.77,0.1091,2.77,2798,1269,77.4,115.2,NA
Fir,AAAC6201,1.1264,0.6999,1.1267,0.7001,1.1267,0.7001,0.5534,0.3439,0.4612,0.2866,0.1254,0.2018,0.1505,0.2422,94.3,0.0741,47.8,0.3484,8.85,7,6,0.1161,2.95,0.1161,2.95,3411,1547,88.6,131.8,217
AAAC6201_1/0,AAAC6201,1.0215,0.6347,1.0252,0.637,1.0241,0.6363,0.546,0.3393,0.455,0.2827,0.1237,0.1991,0.1484,0.2388,106,0.0829,53.5,0.368,9.35,7,6,0.1228,3.12,9999,9999,3800,1724,98.43,146.5,232
Hazel,AAAC6201,0.8988,0.5585,0.8993,0.5588,0.8991,0.5587,0.539,0.3349,0.4492,0.2791,0.1221,0.1965,0.1465,0.2358,118.2,0.0928,59.9,0.3898,9.9,7,6,0.1299,3.3,0.1299,3.3,4270,1937,110.9,165,250
AZUSA,AAAC6201,0.8748,0.5436,0.8782,0.5457,0.8772,0.5451,0.536,0.3331,0.4467,0.2776,0.1214,0.1954,0.1457,0.2345,123,0.0968,62.5,0.398,10.11,7,6,0.1327,3.37,9999,9999,4460,2023,115.7,172.2,240
AAAC6201_2/0,AAAC6201,0.8104,0.5036,0.8135,0.5055,0.8126,0.5049,0.532,0.3306,0.4433,0.2755,0.1203,0.1936,0.1444,0.2324,133,0.1046,67.5,0.414,10.52,7,6,0.1379,3.5,9999,9999,4600,2087,124.1,184.7,268
Pine,AAAC6201,0.7516,0.467,0.752,0.4673,0.7519,0.4672,0.5274,0.3277,0.4395,0.2731,0.1195,0.1923,0.1434,0.2308,141.5,0.1111,71.7,0.4264,10.83,7,6,0.1421,3.61,0.1421,3.61,4910,2227,132.8,197.7,279
ANAHEIM,AAAC6201,0.6941,0.4313,0.6969,0.433,0.6961,0.4325,0.522,0.3244,0.435,0.2703,0.118,0.1899,0.1416,0.2279,155,0.1221,78.8,0.447,11.35,7,6,0.149,3.78,9999,9999,5390,2445,145.9,217.1,280
Holly,AAAC6201,0.6402,0.3978,0.6408,0.3982,0.6407,0.3981,0.5174,0.3215,0.4312,0.2679,0.1172,0.1886,0.1406,0.2263,165.9,0.1304,84.1,0.4606,11.7,7,6,0.1539,3.91,0.1539,3.91,5573,2528,154.2,229.5,NA
AAAC6201_3/0,AAAC6201,0.6428,0.3994,0.6455,0.4011,0.6447,0.4006,0.518,0.3219,0.4317,0.2682,0.1169,0.1881,0.1403,0.2258,168,0.1318,85,0.464,11.79,7,6,0.1548,3.93,9999,9999,5800,2631,156.4,232.8,310
Willow,AAAC6201,0.6009,0.3734,0.6016,0.3738,0.6014,0.3737,0.5128,0.3186,0.4273,0.2655,0.1161,0.1868,0.1393,0.2242,177.2,0.1392,89.8,0.4772,12.12,7,6,0.1591,4.04,0.1591,4.04,6151,2790,166.3,247.5,322
AMHERST,AAAC6201,0.5511,0.3424,0.5536,0.344,0.5529,0.3436,0.508,0.3157,0.4233,0.263,0.1146,0.1844,0.1375,0.2213,196,0.1537,99.2,0.502,12.75,7,6,0.1672,4.25,9999,9999,6790,3080,183.7,273.4,325
