Angle,Area,Density,Velocity,Force,Cd,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,30,3.2498886,0.498342585,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,60,12.585751,0.482479283,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,90,27.90082,0.475372423,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,120,49.168184,0.471219997,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,150,76.404487,0.468638951,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,180,109.44309,0.466171128,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,210,148.19891,0.463776198,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,240,192.89087,0.462158797,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,270,243.37505,0.460734317,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.6,300,299.657,0.459498347,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,30,4.0612627,0.533794162,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,60,15.65627,0.514447484,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,90,34.767079,0.507736555,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,120,61.190178,0.502660166,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,150,94.807452,0.498442658,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,180,127.1405,0.464188259,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,210,172.34661,0.462295219,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,240,224.13587,0.460303342,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,270,282.83622,0.458947219,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.7,300,348.28732,0.457773239,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,30,4.2696136,0.491031511,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,60,16.604522,0.477405234,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,90,36.876328,0.471222425,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,120,65.078797,0.467778572,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,150,100.86073,0.463983876,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,180,144.79065,0.462550129,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,210,196.11841,0.460302224,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,240,255.29974,0.458765962,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,270,322.20623,0.457477463,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.8,300,396.87662,0.456432232,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,30,4.7765915,0.4882996,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,60,18.599233,0.47533885,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,90,41.361931,0.469814659,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,120,72.961469,0.466167352,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,150,113.20763,0.462917882,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,180,162.38272,0.461111102,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,210,220.15455,0.459303604,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,240,286.40594,0.457478106,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,270,361.82755,0.456651491,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,0.9,300,445.76198,0.455691881,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,30,5.2814033,0.48591478,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,60,20.606322,0.473970451,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,90,45.842413,0.468636096,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,120,80.830134,0.464797831,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,150,125.55078,0.462051286,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,180,179.93674,0.459862636,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,210,243.99555,0.458138303,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,240,317.73795,0.45677244,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,270,401.18545,0.455691504,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1,300,494.01568,0.454518443,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,30,5.7868957,0.48402049,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,60,22.598921,0.472547864,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,90,50.287984,0.467347375,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,120,88.683463,0.463597145,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,150,137.75871,0.460889857,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,180,197.30796,0.458416454,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,210,267.61061,0.456799205,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,240,348.83517,0.455888233,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,270,440.24014,0.454592965,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.1,300,542.61226,0.453845145,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.2,30,6.292301,0.482435236,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.2,60,24.58419,0.471221875,,,,,,,,,,,,,,,,,,,,,,,
