# Simulation 4 (Up to date)
# 904 data points written for 56 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s),Density (kg/m³),Thrust to weight ()
0.01,0.01,1.51,151.43,1.51,151.43,0,0,0,0,0,0,28.61,-80.6,9.79,53.88,0,0,0,16.9,4.86,6.09,0.06,NaN,133.98,NaN,0.01,426153.89,2724.07,0.01,0.48,0.19,0.35,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,2.07,15,101324.91,340.39,0.01,0.01,1.22,16.46
0.02,0.03,3.03,151.5,3.03,151.5,0,0,0,0,0,0,28.61,-80.6,9.79,34.13,0,0,0,16.88,4.84,6.08,0.06,NaN,133.93,NaN,0.01,606963.09,2722.22,0.07,0.46,0.46,0.33,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,2.05,15,101324.65,340.39,0.01,0.02,1.22,16.47
0.03,0.07,4.54,151.56,4.54,151.56,0,0,0,0,0,0,28.61,-80.6,9.79,24.08,0,0,0,16.86,4.82,6.08,0.06,NaN,133.88,NaN,0.01,825651.86,2720.36,0.16,0.44,0.54,0.31,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,2.03,15,101324.2,340.39,0.01,0.02,1.22,16.48
0.04,0.12,6.06,151.62,6.06,151.62,0,0,0,0,0,0,28.61,-80.6,9.79,18.34,0,0,0,16.84,4.8,6.07,0.06,NaN,133.84,NaN,0.02,1059061.92,2718.51,0.26,0.42,0.55,0.29,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,2.01,15,101323.58,340.39,0.01,0.03,1.22,16.49
0.05,0.19,7.57,151.68,7.57,151.68,0,0,0,0,0,0,28.61,-80.6,9.79,14.69,0,0,0,16.82,4.78,6.06,0.06,NaN,133.79,NaN,0.02,1299337.72,2716.65,0.38,0.41,0.53,0.28,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,1.99,15,101322.78,340.39,0.01,0.04,1.22,16.49
0.06,0.27,9.09,151.73,9.09,151.73,0,0,0,0,0,0,28.61,-80.6,9.79,12.29,0,0,0,16.8,4.77,6.06,0.06,NaN,133.74,NaN,0.03,1543943.7,2714.8,0.51,0.4,0.5,0.27,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,1.98,15,101321.8,340.39,0.01,0.04,1.22,16.5
0.07,0.37,10.61,151.79,10.61,151.79,0,0,0,0,0,0,28.61,-80.6,9.79,10.55,0,0,0,16.79,4.75,6.05,0.06,NaN,133.7,NaN,0.03,1790599.73,2712.94,0.65,0.4,0.48,0.26,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,1.98,15,101320.65,340.39,0.01,0.04,1.22,16.51
0.08,0.48,12.04,151.84,12.04,151.84,0,0,0,0,0,0,28.61,-80.6,9.79,9.3,0,0,0,16.77,4.73,6.05,0.06,NaN,133.65,NaN,0.04,2024379.76,2711.14,0.8,0.39,0.46,0.26,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,1.97,15,101319.4,340.39,0.01,0.05,1.22,16.51
0.09,0.58,13.3,151.88,13.3,151.88,0,0,0,0,0,0,28.61,-80.6,9.79,8.42,0,0,0,16.75,4.71,6.04,0.06,NaN,133.61,NaN,0.04,2231076.62,2709.49,0.94,0.39,0.44,0.25,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,1.97,15,101318.16,340.39,0.01,0.05,1.22,16.52
0.1,0.69,14.44,151.92,14.44,151.92,0,0,0,0,0,0,28.61,-80.6,9.79,7.75,0,0,0,16.74,4.7,6.04,0.06,NaN,133.58,NaN,0.04,2418605.44,2708.02,1.08,0.38,0.43,0.25,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.64,0.02,90,0,1.96,15,101316.94,340.39,0.01,0.05,1.22,16.52
