# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,0.009,1.786,178.667,1.786,178.667,0,0,0,0,0,0,28.61,-80.6,9.792,52.23,0,0,0,2.613,0.809,0.709,0.002,NaN,969.979,NaN,0.009,3.746e5,492.537,0.006,0.585,0.258,0.534,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.287e-4,0.077,0.005,90,0,2.305,15,1013.249,340.389,0.01,0.043
0.02,0.037,3.841,205.505,3.841,205.505,0,0,0,0,0,0,28.61,-80.6,9.792,31.101,0,0,0,2.612,0.808,0.709,0.002,NaN,969.765,NaN,0.013,5.762e5,562.447,0.033,0.538,0.581,0.487,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.918e-4,0.077,0.005,90,0,2.317,15,1013.246,340.389,0.01,0.052
0.03,0.086,5.929,208.807,5.929,208.807,0,0,0,0,0,0,28.61,-80.6,9.792,21.445,0,0,0,2.611,0.807,0.708,0.002,NaN,969.551,NaN,0.019,8.181e5,570.855,0.074,0.504,0.642,0.453,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.591e-4,0.077,0.005,90,0,2.329,14.999,1013.24,340.389,0.01,0.058
0.04,0.156,8.049,212.109,8.049,212.109,0,0,0,0,0,0,28.61,-80.6,9.792,16.213,0,0,0,2.61,0.805,0.708,0.002,NaN,969.338,NaN,0.025,1.077e6,579.262,0.125,0.48,0.623,0.429,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.077,0.005,90,0,2.34,14.999,1013.232,340.388,0.01,0.063
0.05,0.247,10.203,215.411,10.203,215.411,0,0,0,0,0,0,28.61,-80.6,9.792,12.982,0,0,0,2.609,0.804,0.707,0.002,NaN,969.123,NaN,0.031,1.345e6,587.67,0.182,0.462,0.581,0.41,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.077,0.005,90,0,2.352,14.998,1013.221,340.388,0.01,0.068
0.06,0.358,12.346,218.68,12.346,218.68,0,0,0,0,0,0,28.61,-80.6,9.792,10.846,0,0,0,2.608,0.803,0.707,0.002,NaN,968.913,NaN,0.037,1.615e6,595.994,0.245,0.448,0.543,0.397,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.365,14.998,1013.208,340.387,0.01,0.075
0.068,0.465,14.141,221.629,14.141,221.629,0,0,0,0,0,0,28.61,-80.6,9.792,9.54,0,0,0,2.607,0.802,0.707,0.002,NaN,968.74,NaN,0.042,1.842e6,603.519,0.303,0.44,0.518,0.388,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.376,14.997,1013.195,340.387,0.008,0.079
0.075,0.57,15.726,224.13,15.726,224.13,0,0,0,0,0,0,28.61,-80.6,9.792,8.628,0,0,0,2.606,0.801,0.707,0.002,NaN,968.588,NaN,0.047,2.043e6,609.896,0.36,0.433,0.499,0.381,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.386,14.996,1013.183,340.387,0.007,0.089
0.081,0.675,17.165,226.344,17.165,226.344,0,0,0,0,0,0,28.61,-80.6,9.792,7.942,0,0,0,2.605,0.8,0.706,0.002,NaN,968.451,NaN,0.051,2.226e6,615.542,0.416,0.427,0.485,0.375,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.395,14.996,1013.171,340.386,0.006,0.096
0.087,0.779,18.496,228.353,18.496,228.353,0,0,0,0,0,0,28.61,-80.6,9.792,7.402,0,0,0,2.604,0.8,0.706,0.002,NaN,968.326,NaN,0.055,2.396e6,620.664,0.47,0.423,0.474,0.371,0.001,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.403,14.995,1013.159,340.386,0.006,0.103
