# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,0.002,0.446,44.595,0.446,44.595,0,0,0,0,0,0,28.61,-80.6,9.792,79.383,0,0,0,2.7,0.861,0.833,0.003,NaN,952.808,NaN,0.007,3.112e5,146.833,1.427e-4,0.602,0.009,0.56,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.709e-5,0.077,0.005,90,0,2.379,15,1013.25,340.389,0.01,0.052
0.02,0.014,1.895,144.918,1.895,144.918,0,0,0,0,0,0,28.61,-80.6,9.792,51.05,0,0,0,2.699,0.86,0.833,0.003,NaN,952.754,NaN,0.009,3.876e5,417.64,0.007,0.576,0.273,0.533,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.426e-4,0.077,0.005,90,0,2.344,15,1013.248,340.389,0.01,0.06
0.03,0.039,3.188,129.3,3.188,129.3,0,0,0,0,0,0,28.61,-80.6,9.792,35.927,0,0,0,2.699,0.86,0.833,0.003,NaN,952.679,NaN,0.012,5.062e5,375.438,0.023,0.546,0.513,0.503,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.082e-4,0.077,0.005,90,0,2.31,15,1013.245,340.389,0.01,0.066
0.04,0.077,4.356,116.785,4.356,116.785,0,0,0,0,0,0,28.61,-80.6,9.792,27.584,0,0,0,2.699,0.86,0.833,0.003,NaN,952.602,NaN,0.014,6.319e5,341.624,0.042,0.523,0.61,0.48,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.577e-4,0.077,0.005,90,0,2.276,14.999,1013.241,340.389,0.01,0.071
0.05,0.127,5.593,123.718,5.593,123.718,0,0,0,0,0,0,28.61,-80.6,9.792,21.837,0,0,0,2.698,0.859,0.833,0.003,NaN,952.525,NaN,0.018,7.747e5,360.3,0.066,0.504,0.639,0.461,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.161e-4,0.077,0.005,90,0,2.241,14.999,1013.235,340.388,0.01,0.075
0.06,0.189,6.899,130.652,6.899,130.652,0,0,0,0,0,0,28.61,-80.6,9.792,18.048,0,0,0,2.698,0.859,0.833,0.003,NaN,952.447,NaN,0.021,9.33e5,378.976,0.094,0.487,0.632,0.444,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.834e-4,0.077,0.005,90,0,2.248,14.999,1013.228,340.388,0.01,0.081
0.07,0.265,8.275,137.586,8.275,137.586,0,0,0,0,0,0,28.61,-80.6,9.792,15.244,0,0,0,2.697,0.858,0.833,0.003,NaN,952.37,NaN,0.025,1.103e6,397.652,0.127,0.472,0.61,0.429,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.077,0.005,90,0,2.255,14.998,1013.219,340.388,0.01,0.091
0.08,0.355,9.72,144.521,9.72,144.521,0,0,0,0,0,0,28.61,-80.6,9.792,13.101,0,0,0,2.697,0.858,0.832,0.003,NaN,952.293,NaN,0.029,1.283e6,416.328,0.164,0.46,0.58,0.417,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.077,0.005,90,0,2.262,14.998,1013.208,340.388,0.01,0.098
0.09,0.46,11.235,151.456,11.235,151.456,0,0,0,0,0,0,28.61,-80.6,9.792,11.419,0,0,0,2.696,0.857,0.832,0.003,NaN,952.215,NaN,0.034,1.474e6,435.004,0.205,0.449,0.55,0.406,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.077,0.005,90,0,2.269,14.997,1013.196,340.387,0.01,0.102
0.099,0.566,12.642,158.01,12.642,158.01,0,0,0,0,0,0,28.61,-80.6,9.792,10.204,0,0,0,2.696,0.857,0.832,0.003,NaN,952.146,NaN,0.038,1.651e6,452.654,0.247,0.441,0.527,0.397,0.002,0.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.275,14.996,1013.184,340.387,0.009,0.106
