deployment_level,mach,cd_increment
0.0,0.0884,0.0
0.0,0.0893,0.0
0.0,0.0903,0.0
0.0,0.0914,0.0
0.0,0.0927,0.0
0.0,0.0941,0.0
0.0,0.0959,0.0
0.0,0.1767,0.0
0.0,0.1786,0.0
0.0,0.1806,0.0
0.0,0.1828,0.0
0.0,0.1854,0.0
0.0,0.1883,0.0
0.0,0.1917,0.0
0.0,0.2651,0.0
0.0,0.2678,0.0
0.0,0.2709,0.0
0.0,0.2742,0.0
0.0,0.2781,0.0
0.0,0.2824,0.0
0.0,0.2876,0.0
0.0,0.3535,0.0
0.0,0.3571,0.0
0.0,0.3611,0.0
0.0,0.3656,0.0
0.0,0.3707,0.0
0.0,0.3766,0.0
0.0,0.3835,0.0
0.0,0.4419,0.0
0.0,0.4464,0.0
0.0,0.4514,0.0
0.0,0.457,0.0
0.0,0.4634,0.0
0.0,0.4707,0.0
0.0,0.4793,0.0
0.0,0.5302,0.0
0.0,0.5357,0.0
0.0,0.5417,0.0
0.0,0.5485,0.0
0.0,0.5561,0.0
0.0,0.5649,0.0
0.0,0.5752,0.0
0.0,0.6186,0.0
0.0,0.625,0.0
0.0,0.632,0.0
0.0,0.6399,0.0
0.0,0.6488,0.0
0.0,0.659,0.0
0.0,0.6711,0.0
0.0,0.707,0.0
0.0,0.7142,0.0
0.0,0.7223,0.0
0.0,0.7313,0.0
0.0,0.7415,0.0
0.0,0.7532,0.0
0.0,0.767,0.0
0.0,0.7953,0.0
0.0,0.8035,0.0
0.0,0.8126,0.0
0.0,0.8227,0.0
0.0,0.8342,0.0
0.0,0.8473,0.0
0.0,0.8628,0.0
0.0,0.8837,0.0
0.0,0.8928,0.0
0.0,0.9029,0.0
0.0,0.9141,0.0
0.0,0.9268,0.0
0.0,0.9415,0.0
0.0,0.9587,0.0
0.0001,0.0884,0.0
0.0001,0.0893,0.0
0.0001,0.0903,0.0
0.0001,0.0914,0.0007134285000000573
0.0001,0.0927,0.005010698500000077
0.0001,0.0941,0.009986137500000047
0.0001,0.0959,0.0
0.0001,0.1767,0.0
0.0001,0.1786,0.0
0.0001,0.1806,0.0008595632500000283
0.0001,0.1828,0.003715845250000016
0.0001,0.1854,0.0
0.0001,0.1883,0.0
0.0001,0.1917,0.0041046226666666685
0.0001,0.2651,0.0
0.0001,0.2678,0.0
0.0001,0.2709,0.0009487157499999954
0.0001,0.2742,0.0033946607500000003
0.0001,0.2781,0.0
0.0001,0.2824,0.0013856190000000046
0.0001,0.2876,0.0
0.0001,0.3535,0.0
0.0001,0.3571,0.0
0.0001,0.3611,0.0010004470000000154
0.0001,0.3656,0.0
0.0001,0.3707,0.0013134190000000379
0.0001,0.3766,0.0
0.0001,0.3835,0.0018141795000000127
0.0001,0.4419,0.0
0.0001,0.4464,0.0
0.0001,0.4514,0.0009514764999999925
0.0001,0.457,0.0
0.0001,0.4634,0.0012132460000000012
0.0001,0.4707,0.0
0.0001,0.4793,0.0
0.0001,0.5302,0.0
0.0001,0.5357,0.0
0.0001,0.5417,0.0008920364999999708
0.0001,0.5485,0.0
0.0001,0.5561,0.0
0.0001,0.5649,0.0013473680000000154
0.0001,0.5752,0.0
0.0001,0.6186,0.0
0.0001,0.625,0.0006701060000000036
0.0001,0.632,0.0
0.0001,0.6399,0.0
0.0001,0.6488,0.0
0.0001,0.659,0.0
0.0001,0.6711,0.0
0.0001,0.707,0.0
0.0001,0.7142,0.0005826445000000069
0.0001,0.7223,0.0
0.0001,0.7313,0.0
0.0001,0.7415,0.0
0.0001,0.7532,0.0
0.0001,0.767,0.0
0.0001,0.7953,0.0
0.0001,0.8035,0.000518340000000006
0.0001,0.8126,0.0
0.0001,0.8227,0.0
0.0001,0.8342,0.0
0.0001,0.8473,0.0
0.0001,0.8628,0.0
0.0001,0.8837,0.0
0.0001,0.8928,0.0
